wavenumber,P88812Cl,P88812NO3,NaNO3
3421,85.32,91.52,106.6
3420,85.33,91.52,106.63
3419,85.28,91.48,106.68
3418,85.24,91.46,106.69
3417,85.26,91.48,106.7
3416,85.26,91.46,106.71
3415,85.23,91.48,106.71
3414,85.26,91.47,106.69
3413,85.21,91.44,106.69
3412,85.24,91.45,106.69
3411,85.24,91.46,106.69
3410,85.22,91.46,106.68
3409,85.22,91.45,106.71
3408,85.2,91.44,106.7
3407,85.2,91.46,106.71
3406,85.23,91.45,106.72
3405,85.2,91.44,106.72
3404,85.21,91.44,106.69
3403,85.19,91.43,106.66
3402,85.19,91.44,106.69
3401,85.18,91.42,106.69
3400,85.14,91.41,106.73
3399,85.16,91.45,106.72
3398,85.19,91.42,106.69
3397,85.2,91.44,106.7
3396,85.13,91.39,106.71
3395,85.12,91.4,106.72
3394,85.16,91.43,106.67
3393,85.17,91.46,106.66
3392,85.14,91.44,106.73
3391,85.14,91.43,106.76
3390,85.09,91.38,106.76
3389,85.06,91.38,106.74
3388,85.09,91.4,106.76
3387,85.08,91.42,106.77
3386,85.07,91.4,106.76
3385,85.08,91.4,106.76
3384,85.09,91.39,106.74
3383,85.07,91.39,106.78
3382,85.04,91.39,106.76
3381,85.04,91.39,106.77
3380,85.05,91.38,106.75
3379,85.05,91.37,106.78
3378,85.06,91.4,106.76
3377,84.99,91.37,106.79
3376,85.01,91.39,106.8
3375,85.03,91.38,106.78
3374,85.06,91.41,106.8
3373,85.03,91.39,106.77
3372,85.03,91.39,106.74
3371,85.01,91.41,106.77
3370,85.03,91.42,106.76
3369,85.04,91.4,106.74
3368,85.02,91.39,106.73
3367,85.02,91.4,106.77
3366,85.01,91.39,106.77
3365,84.99,91.39,106.76
3364,85,91.41,106.79
3363,84.99,91.38,106.78
3362,84.98,91.37,106.77
3361,85.02,91.42,106.76
3360,84.98,91.39,106.8
3359,84.98,91.37,106.81
3358,84.98,91.4,106.81
3357,84.98,91.39,106.79
3356,84.99,91.39,106.79
3355,84.99,91.39,106.82
3354,84.94,91.35,106.83
3353,84.97,91.38,106.78
3352,84.96,91.38,106.81
3351,84.95,91.39,106.82
3350,84.96,91.38,106.84
